iteration	evaluations	runtime[s]	COSTDUR[MIN]	cost	duration	undt	reqsk	overwork	phenotypeBeforeNormalization
42	2688	0.184	128.78531578159883	9617.200075409728	326.13315027501534	0	0	0.0	1.0,0.75,0.25,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.0,0.25,0.5,0.0,1.0,1.0,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43	2752	0.187	128.4781096834835	9533.861566467454	331.3949401880894	0	0	0.0	1.0,0.75,0.25,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,1.0,0.25,0.75,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44	2816	0.19	128.40465434991444	9510.75369676913	332.9711738222314	0	0	0.0	1.0,0.5,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,1.0,0.25,0.75,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45	2880	0.193	128.40465434991444	9510.75369676913	332.9711738222314	0	0	0.0	1.0,0.5,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,1.0,0.25,0.75,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46	2944	0.197	128.19451690980853	9431.230062180526	338.82216288003264	0	0	0.0	1.0,0.75,0.25,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47	3008	0.2	128.1003682005487	9458.096246637971	335.1940573416898	0	0	0.0	1.0,0.0,0.25,0.75,0.75,0.75,0.5,0.75,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,1.0,0.25,0.75,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48	3072	0.205	127.8171486676326	9409.125787300092	337.25890794631664	0	0	0.0	1.0,0.75,0.25,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.5,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,1.0,0.25,0.75,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49	3136	0.208	127.55440216439105	9299.56390143042	345.58763150086844	0	0	0.0	1.0,0.5,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50	3200	0.211	127.55440216439105	9299.56390143042	345.58763150086844	0	0	0.0	1.0,0.5,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
51	3264	0.215	127.31828931861614	9272.806135747827	345.9022796113786	0	0	0.0	1.0,0.5,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52	3328	0.218	127.31828931861614	9272.806135747827	345.9022796113786	0	0	0.0	1.0,0.5,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53	3392	0.221	127.31828931861614	9272.806135747827	345.9022796113786	0	0	0.0	1.0,0.5,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54	3456	0.224	127.30637486947441	9244.502626332942	348.61348606144986	0	0	0.0	1.0,0.75,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55	3520	0.226	127.0818966469428	9237.956636184328	347.02330285099515	0	0	0.0	1.0,0.5,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
